Word	kyoto-protocol	paris-agreement	Shared
and	0.414692	0.179103	2
for	0.414692	0.179103	2
one	0.188908	0.15642	2
new	0.261289	0.219417	2
year	0.188908	0.15642	2
years	0.188908	0.15642	2
world	0.24167	0	1
three	0	0.15642	1
united	0.303675	0.247711	2
states	0	0.394151	1
national	0	0.423569	1
country	0.265866	0.893674	2
international	0.241485	0.20279	2
party	0.926257	0.609974	2
five	0	0.15642	1
york	0.261289	0.219417	2
six	0.188908	0.15642	2
economic	0.34602	0.5616	2
countries	0	0.381217	1
best	0	0.383768	1
months	0.188908	0.15642	2
support	0	0.193149	1
meeting	0.41133	0.46718	2
small	0	0.37459	1
development	0.339027	0.477636	2
member	0	0.394151	1
information	0.281213	0.361828	2
agency	0.211452	0.174834	2
seven	0.188908	0	1
conference	0.510535	0.496759	2
nations	0.303675	0.247711	2
different	0	0.423569	1
change	0.536435	0.757748	2
agreement	0	0.821823	1
period	0.380569	0	1
island	0	0.37459	1
action	0	0.361581	1
executive	0.210941	0	1
energy	0.211452	0.174834	2
low	0	0.401013	1
efforts	0	0.366721	1
global	0	0.44354	1
body	0.414692	0.179103	2
technology	0	0.365536	1
organization	0.24167	0.437338	2
available	0	0.383768	1
civil	0.241485	0	1
gas	0.297641	0.558015	2
regional	0.34602	0.5616	2
parties	0.934905	0.893674	2
paris	0	0.22703	1
science	0	0.383768	1
developed	0.256229	0.381217	2
session	0.294415	0	1
units	0.327442	0	1
sound	0.283737	0	1
account	0.278392	0.364145	2
host	0	0.189425	1
environment	0.213937	0	1
headquarters	0	0.165841	1
developing	0	0.410466	1
organizations	0	0.393937	1
bodies	0	0.389589	1
article	0.666338	0.679136	2
bureau	0.198044	0.163558	2
panel	0.331777	0.15642	2
climate	0.536435	0.757748	2
actions	0	0.416792	1
convention	0.481596	0.508419	2
technical	0	0.193149	1
effects	0	0.431933	1
determined	0	0.517126	1
decisions	0.333684	0	1
clean	0.339027	0	1
scientific	0.414692	0.179103	2
berlin	0.22902	0	1
commitment	0.380569	0	1
programme	0.213937	0	1
aviation	0.241485	0	1
advice	0.414692	0.179103	2
contributions	0	0.507477	1
amendment	0.258304	0	1
reduction	0.327442	0	1
circumstances	0	0.423569	1
equivalent	0.285431	0	1
technologies	0.283737	0	1
implementation	0.27603	0.17575	2
montreal	0.633833	0	1
atomic	0.211452	0.174834	2
carbon	0.285713	0	1
contribution	0	0.517126	1
emissions	0.310626	0.558015	2
framework	0.28244	0	1
subsidiary	0.414692	0.179103	2
relevant	0.333684	0	1
provisions	0.26545	0	1
integration	0.34602	0.5616	2
mechanism	0.339027	0.20279	2
arrangements	0	0.394942	1
sustainable	0	0.477636	1
protocol	0.633833	0	1
maritime	0.231123	0	1
commitments	0.356764	0	1
institutional	0	0.394942	1
nationally	0	0.517126	1
technological	0.414692	0.179103	2
warsaw	0	0.20279	1
certified	0.283288	0	1
greenhouse	0.375211	0.558015	2
accordance	0.333926	0.365413	2
adaptation	0	0.490598	1
reductions	0.287761	0	1
aggregate	0.285713	0	1
dioxide	0.285431	0	1
gases	0.375211	0	1
adverse	0	0.431933	1
secretariat	0.26165	0	1
meteorological	0.24167	0	1
impacts	0	0.376125	1
emission	0.327442	0	1
environmentally	0.283737	0	1
durban	0	0.209141	1
annex	0.521142	0	1
paragraph	0.380981	0.426663	2
limitation	0.295516	0	1
intergovernmental	0.331777	0.15642	2
mitigation	0	0.395617	1
secretary-general	0.207534	0.181534	2
depositary	0.283917	0	1
quantified	0.270068	0	1
anthropogenic	0.285713	0	1
mutatis	0.262465	0.383716	2
mutandis	0.262465	0.383716	2
